               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10698,            0.065208,            0.058295,             0.24641,            0.041667,            0.025648,           0.0071394,            0.091786,            0.054075,            0.060675,             0.00043,             0.00043,             0.09613
                   1,            0.085845,            0.076252,            0.052483,             0.10502,             0.16898,             0.11538,            0.037729,            0.080193,            0.054286,            0.052791,          0.00086995,          0.00086995,             0.09217
                   2,            0.071902,            0.076505,             0.04253,             0.96536,             0.19471,             0.27998,             0.10344,            0.071093,              0.0537,             0.03988,           0.0013097,           0.0013097,             0.08821
                   3,            0.063726,            0.067343,            0.031976,             0.73545,              0.4595,             0.42417,             0.20316,            0.061828,            0.053083,            0.028019,           0.0017491,           0.0017491,            0.084249
                   4,            0.059942,            0.058455,            0.024635,             0.78126,             0.44676,             0.47512,              0.2404,            0.057709,            0.046357,            0.019299,           0.0021881,           0.0021881,            0.080288
                   5,            0.061766,            0.054379,            0.019278,             0.53275,             0.58153,             0.45994,             0.21989,            0.057723,             0.04135,             0.01375,           0.0026264,           0.0026264,            0.076326
                   6,            0.059333,            0.051888,            0.016703,             0.50078,             0.56225,             0.41849,             0.18617,            0.059418,            0.037563,            0.010529,           0.0030639,           0.0030639,            0.072364
                   7,            0.057507,            0.048045,            0.014117,              0.6981,             0.54181,             0.54711,             0.27596,            0.053544,            0.037189,           0.0094533,           0.0035005,           0.0035005,              0.0684
                   8,            0.060529,            0.046208,            0.012437,             0.59988,             0.58312,             0.55797,             0.23859,            0.057557,            0.036265,           0.0082759,            0.003936,            0.003936,            0.064436
                   9,            0.059754,            0.045468,             0.01186,             0.60703,             0.58356,             0.54335,             0.20739,            0.056851,            0.035627,            0.008889,           0.0043703,           0.0043703,             0.06047
                  10,            0.055734,            0.044671,            0.011599,             0.67951,             0.61152,             0.58047,             0.25969,            0.055814,            0.033942,           0.0070923,           0.0048032,           0.0048032,            0.056503
