               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098238,            0.057548,            0.059766,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,              0.0937
                   1,            0.089218,            0.059293,            0.059117,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014851,           0.0014851,            0.086485
                   2,            0.083538,            0.065557,            0.057991,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022545,           0.0022545,            0.079254
                   3,             0.07627,            0.071928,            0.056508,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0030079,           0.0030079,            0.072008
                   4,            0.068722,            0.064657,             0.05471,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0037456,           0.0037456,            0.064746
                   5,            0.060616,            0.074945,            0.052685,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0044673,           0.0044673,            0.057467
                   6,              0.0573,            0.069921,            0.050538,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0051733,           0.0051733,            0.050173
                   7,            0.057483,            0.066751,            0.047953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0058634,           0.0058634,            0.042863
                   8,            0.056675,            0.066972,            0.045798,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065377,           0.0065377,            0.035538
                   9,            0.070505,            0.052781,            0.043023,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0071961,           0.0071961,            0.028196
                  10,            0.064297,            0.057843,            0.041049,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0078387,           0.0078387,            0.020839
                  11,            0.059308,            0.056966,            0.039421,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084655,           0.0084655,            0.013465
                  12,            0.062714,            0.050829,            0.037246,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  13,            0.067364,             0.04434,            0.036274,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,             0.06316,            0.045689,            0.033862,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.060435,             0.04556,            0.032149,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.072183,            0.037587,            0.033491,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.066184,            0.038822,            0.032309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.060286,            0.043405,            0.030978,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.063402,            0.040371,            0.031463,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.05781,            0.039237,            0.031155,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.060715,             0.04237,            0.030576,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.057404,            0.043775,            0.031445,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.053944,            0.037328,            0.028957,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.053477,            0.038718,            0.029511,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.050096,            0.038718,            0.027962,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.047132,            0.040268,            0.029642,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.045719,            0.039584,            0.029068,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.046203,            0.039726,            0.027087,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.048741,            0.037704,            0.028476,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.049938,            0.035251,            0.024766,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.042996,            0.037941,            0.029277,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.040467,            0.035788,            0.028466,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.043515,            0.040451,            0.027738,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.046166,            0.038904,            0.027138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.039438,            0.036247,            0.026901,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.040917,            0.034806,            0.023818,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.042988,            0.034376,            0.024547,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.045697,            0.034222,            0.023979,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.039395,            0.033436,            0.026032,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.035745,            0.033709,            0.025689,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.035959,            0.034557,            0.023575,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.039438,            0.034537,            0.023407,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              0.0379,            0.032827,            0.024496,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.035998,            0.033847,            0.025179,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.037788,            0.033884,            0.024082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
