               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10016,            0.055888,            0.063313,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0007,              0.0007,              0.0937
                   1,            0.089579,            0.058265,            0.061814,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013515,           0.0013515,            0.086351
                   2,            0.077953,             0.06835,            0.058631,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018446,           0.0018446,            0.078845
                   3,            0.069959,            0.074216,            0.055112,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021793,           0.0021793,            0.071179
                   4,            0.061393,            0.066244,            0.052255,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023556,           0.0023556,            0.063356
                   5,            0.055765,            0.073765,            0.049254,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023735,           0.0023735,            0.055374
                   6,             0.05344,             0.06841,            0.047053,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002233,            0.002233,            0.047233
                   7,            0.054528,             0.06492,            0.044098,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019341,           0.0019341,            0.038934
                   8,            0.050802,            0.067643,            0.042953,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014768,           0.0014768,            0.030477
                   9,            0.054821,            0.059456,            0.041586,             0.91035,             0.30513,             0.37919,             0.19528,            0.045617,            0.050093,            0.040803,           0.0008611,           0.0008611,            0.021861
                   0,            0.090026,            0.051555,            0.063415,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006664,           0.0006664,             0.09681
                   1,            0.081554,            0.052948,            0.061979,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012866,           0.0012866,             0.08916
                   2,            0.071452,            0.062157,            0.059016,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017561,           0.0017561,            0.081359
                   3,            0.065299,             0.06674,             0.05556,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020747,           0.0020747,            0.073407
                   4,            0.056952,            0.060396,            0.052777,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022425,           0.0022425,            0.065304
                   5,            0.051934,            0.068069,            0.049959,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022596,           0.0022596,            0.057051
                   6,            0.049978,            0.063676,             0.04787,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021258,           0.0021258,            0.048647
                   7,            0.050782,            0.060192,            0.044982,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018413,           0.0018413,            0.040092
                   8,            0.047093,            0.063678,            0.044026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014059,           0.0014059,            0.031386
                   9,            0.049784,            0.057109,            0.042818,             0.88301,             0.32431,             0.36904,             0.18178,            0.042236,            0.047686,            0.042018,          0.00081977,          0.00081977,             0.02253
                   0,             0.10025,            0.061581,            0.071239,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006909,           0.0006909,            0.093775
                   1,            0.087763,            0.065924,            0.068893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013339,           0.0013339,             0.08641
                   2,            0.076204,            0.076645,            0.064108,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018206,           0.0018206,             0.07889
                   3,            0.067726,            0.081668,            0.058773,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002151,            0.002151,            0.071213
                   4,            0.060153,             0.07137,             0.05461,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002325,            0.002325,             0.06338
                   5,            0.054693,            0.078996,            0.050351,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023426,           0.0023426,             0.05539
                   6,            0.052768,            0.072102,            0.047843,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002204,            0.002204,            0.047244
                   7,            0.052875,            0.068354,            0.044159,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001909,            0.001909,            0.038942
                   8,             0.05003,             0.06883,            0.042744,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014576,           0.0014576,            0.030484
                   9,            0.056534,            0.059911,            0.041784,             0.65317,             0.32821,              0.3943,             0.19592,            0.045105,            0.052095,            0.041242,          0.00084991,          0.00084991,            0.021869
                   0,             0.10008,            0.054575,            0.070315,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006279,           0.0006279,            0.093628
                   1,            0.091854,            0.057324,            0.068683,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012123,           0.0012123,            0.086212
                   2,            0.080161,            0.066342,            0.065369,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016547,           0.0016547,            0.078655
                   3,            0.073138,            0.068853,            0.062224,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001955,            0.001955,            0.070955
                   4,            0.063358,            0.065134,            0.059204,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021132,           0.0021132,            0.063113
                   5,            0.059898,            0.071311,            0.055646,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021294,           0.0021294,            0.055129
                   6,            0.056592,            0.067167,             0.05247,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020035,           0.0020035,            0.047004
                   7,            0.058238,            0.062234,            0.050395,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017356,           0.0017356,            0.038736
                   8,            0.052945,            0.068463,            0.049348,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013256,           0.0013256,            0.030326
                   9,            0.055881,            0.066558,            0.047294,             0.88922,             0.32282,             0.37682,             0.18564,            0.049381,            0.051842,             0.04607,          0.00077349,          0.00077349,            0.021773
                   0,             0.10019,            0.065517,            0.058527,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006244,           0.0006244,            0.086817
                   1,            0.093279,            0.068004,            0.057548,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012055,           0.0012055,            0.079984
                   2,            0.082341,            0.077719,            0.055694,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016454,           0.0016454,            0.073009
                   3,            0.074841,            0.084044,            0.053352,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019439,           0.0019439,            0.065893
                   4,            0.066037,            0.076626,            0.051582,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021012,           0.0021012,            0.058636
                   5,            0.061926,             0.08252,            0.049417,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021172,           0.0021172,            0.051238
                   6,            0.058437,            0.080506,             0.04728,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0019918,           0.0019918,            0.043698
                   7,            0.058184,            0.070614,            0.045385,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017252,           0.0017252,            0.036017
                   8,            0.054049,            0.073775,            0.044323,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013173,           0.0013173,            0.028195
                   9,            0.054807,            0.087976,            0.043162,             0.66533,             0.31338,             0.36507,             0.17102,            0.049073,            0.062584,            0.042237,           0.0007681,           0.0007681,            0.020231
                   0,            0.086097,             0.04706,            0.033854,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000539,            0.000539,            0.070559
                   1,            0.083135,            0.049212,             0.03333,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0010407,           0.0010407,            0.065037
                   2,            0.075954,            0.058212,             0.03233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014203,           0.0014203,            0.059394
                   3,            0.064138,            0.059917,            0.031974,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016781,           0.0016781,            0.053628
                   4,             0.05766,            0.063772,            0.030403,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018138,           0.0018138,            0.047741
                   5,            0.054372,            0.071475,            0.029308,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018276,           0.0018276,            0.041731
                   6,            0.049832,            0.066376,            0.029011,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017194,           0.0017194,              0.0356
                   7,             0.04912,            0.068878,            0.027625,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014893,           0.0014893,            0.029347
                   8,            0.049664,            0.062594,            0.027273,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0011371,           0.0011371,            0.022971
                   9,            0.046236,            0.065331,            0.026795,             0.95317,             0.13837,             0.17799,            0.085472,            0.038997,            0.054257,            0.028073,          0.00066305,          0.00066305,            0.016474
                   0,            0.090136,            0.051274,             0.06101,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006874,           0.0006874,            0.099546
                   1,            0.081523,            0.052753,            0.059741,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0013272,           0.0013272,            0.091682
                   2,            0.071433,            0.062068,            0.056892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018114,           0.0018114,            0.083662
                   3,            0.065284,            0.066376,             0.05358,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021401,           0.0021401,            0.075487
                   4,            0.056825,            0.059944,            0.050915,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023132,           0.0023132,            0.067156
                   5,            0.051739,            0.067633,            0.048288,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023308,           0.0023308,             0.05867
                   6,             0.04976,            0.063313,            0.046261,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021928,           0.0021928,            0.050028
                   7,            0.050603,            0.059976,            0.043444,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018993,           0.0018993,             0.04123
                   8,            0.047008,            0.063042,            0.042537,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014502,           0.0014502,            0.032277
                   9,            0.049831,            0.056654,            0.041363,              0.8824,             0.33328,              0.3722,             0.17647,            0.042056,            0.047147,            0.040558,           0.0008456,           0.0008456,            0.023169
                   0,             0.09585,            0.045708,            0.065722,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.000665,            0.000665,            0.096948
                   1,            0.087485,             0.04818,            0.063483,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012839,           0.0012839,            0.089284
                   2,            0.076144,            0.056633,            0.057632,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017524,           0.0017524,             0.08147
                   3,            0.064878,            0.057931,            0.054325,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020703,           0.0020703,            0.073506
                   4,            0.058227,            0.057447,             0.05076,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022378,           0.0022378,            0.065391
                   5,            0.061584,            0.064859,            0.044489,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022548,           0.0022548,            0.057126
                   6,            0.060534,            0.053911,            0.042851,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021214,           0.0021214,             0.04871
                   7,            0.056084,            0.056649,            0.039952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018374,           0.0018374,            0.040143
                   8,            0.055632,            0.054613,            0.037887,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.001403,            0.001403,            0.031427
                   9,            0.052803,            0.053991,            0.036709,             0.95916,             0.16487,             0.21948,             0.11217,            0.044432,             0.04605,            0.038144,          0.00081804,          0.00081804,            0.022559
                   0,            0.091836,            0.053918,            0.080637,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007644,           0.0007644,             0.11627
                   1,            0.078846,            0.059659,            0.075999,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014758,           0.0014758,             0.10705
                   2,            0.069283,            0.067517,            0.067388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020143,           0.0020143,            0.097648
                   3,            0.060261,            0.069067,             0.05892,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023798,           0.0023798,            0.088078
                   4,            0.054101,             0.06026,             0.05398,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025723,           0.0025723,            0.078334
                   5,            0.050937,            0.062288,            0.048227,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025919,           0.0025919,            0.068418
                   6,            0.048712,            0.058747,            0.043662,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024384,           0.0024384,            0.058328
                   7,            0.055959,             0.04712,             0.04124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002112,            0.002112,            0.048066
                   8,            0.054351,            0.048446,            0.041196,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0016127,           0.0016127,            0.037631
                   9,            0.050811,            0.058882,             0.03939,             0.84264,             0.37564,             0.41541,             0.18101,            0.041594,            0.046196,              0.0398,          0.00094032,          0.00094032,            0.027022
                   0,            0.088124,             0.05561,            0.077516,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0008099,           0.0008099,             0.11543
                   1,            0.076404,            0.063295,            0.073245,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015637,           0.0015637,             0.10633
                   2,            0.066295,            0.071771,            0.065038,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021342,           0.0021342,            0.097037
                   3,            0.058827,            0.068713,            0.057091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025215,           0.0025215,            0.087564
                   4,            0.052109,            0.060072,            0.053406,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027254,           0.0027254,            0.077908
                   5,            0.048188,            0.064825,            0.046806,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0027461,           0.0027461,            0.068069
                   6,            0.046409,            0.060895,            0.043287,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0025836,           0.0025836,            0.058046
                   7,            0.049636,            0.053406,             0.04228,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022378,           0.0022378,             0.04784
                   8,            0.048564,            0.052161,            0.041573,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017087,           0.0017087,            0.037451
                   9,            0.052207,            0.055484,             0.03921,             0.85377,             0.34309,             0.40934,             0.15917,            0.044716,            0.045944,            0.038831,          0.00099629,          0.00099629,            0.026879
                   0,             0.10411,            0.040489,            0.078022,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0006727,           0.0006727,             0.12926
                   1,            0.088744,            0.044022,            0.074055,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0012988,           0.0012988,             0.11883
                   2,            0.075162,            0.048055,            0.067249,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0017728,           0.0017728,             0.10824
                   3,            0.068755,            0.046696,            0.060793,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020946,           0.0020946,            0.097501
                   4,            0.062108,            0.044463,            0.056802,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022642,           0.0022642,            0.086609
                   5,            0.066523,            0.045264,             0.05276,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0022816,           0.0022816,            0.075565
                   6,             0.06418,            0.043919,            0.048827,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021468,           0.0021468,            0.064368
                   7,            0.061119,            0.039314,            0.046707,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018599,           0.0018599,             0.05302
                   8,            0.060093,            0.040606,            0.045675,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014208,           0.0014208,            0.041519
                   9,            0.063782,            0.043993,            0.044229,             0.87908,             0.37222,             0.41329,              0.2176,            0.056866,            0.041328,            0.040747,           0.0008295,           0.0008295,            0.029866
                   0,            0.099443,            0.076345,            0.062485,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0007833,           0.0007833,            0.093783
                   1,            0.089855,            0.077383,            0.061244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0015123,           0.0015123,            0.086512
                   2,             0.07689,            0.086557,            0.058413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0020641,           0.0020641,            0.079064
                   3,            0.070535,            0.088461,            0.056159,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024386,           0.0024386,            0.071439
                   4,            0.062636,            0.084342,            0.053997,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026359,           0.0026359,            0.063636
                   5,            0.057909,             0.08984,            0.051357,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0026559,           0.0026559,            0.055656
                   6,            0.055278,            0.095449,            0.048044,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024987,           0.0024987,            0.047499
                   7,            0.055157,            0.090386,            0.045894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0021643,           0.0021643,            0.039164
