   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
              0.9516,             0.98786,              0.9875,             0.75827,             0.02443,            0.034828,            0.011001,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.58392,             0.40978,             0.43894,             0.21595,            0.037488,            0.058737,            0.031001,                0.01,                0.01,             0.96033,             0.00067,              3.2596,             0.79003,              0.0835,             0.04942,             0.50336,             0.94989,             0.78969,                   1,                 0.2,              3.1186,                   0,             0.01384,             0.58285,             0.54126,                   0,             0.09309,             0.47539,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1828
             0.93711,             0.98925,             0.98478,             0.75374,            0.026956,             0.03856,            0.011189,             0.01088,                0.01,             0.92017,             0.00044,                   3,             0.67936,                 0.1,              0.0523,             0.44304,              1.1556,                   1,              1.1405,                 0.2,              4.0602,                   0,              0.0136,             0.74526,             0.39758,                   0,             0.08801,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
             0.93796,             0.99107,             0.98634,              0.7482,            0.026607,            0.039887,             0.01184,             0.01066,             0.01003,             0.92017,             0.00045,              3.0117,             0.67936,             0.09516,              0.0523,             0.44304,              1.1696,             0.99666,              1.2006,                 0.2,              4.1913,                   0,             0.01388,               0.732,             0.39758,                   0,             0.08801,             0.48258,                   0,                   0,                   0,                 0.5,             0.97589,                   0,                   0,              2.6159
             0.94971,             0.97044,             0.98289,             0.75815,            0.029892,             0.03818,           0.0099451,              0.0106,                0.01,             0.92017,             0.00044,              2.8621,             0.60775,             0.09272,             0.05784,             0.36134,              1.1696,             0.99368,              1.0652,                 0.2,              4.1913,                   0,             0.01493,             0.69539,               0.449,                   0,             0.09302,             0.35911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                3.22
             0.62238,              0.4253,             0.43371,             0.18374,            0.047717,            0.073145,            0.033935,             0.01049,             0.01003,             0.92017,             0.00041,              3.2394,             0.78597,             0.10495,             0.05927,             0.41444,               1.196,             0.86757,              1.0183,                 0.2,              4.8111,                   0,              0.0148,             0.69654,             0.39351,                   0,             0.08689,             0.48467,                   0,                   0,                   0,                 0.5,              0.9751,                   0,                   0,                   2
             0.95241,             0.95179,             0.98323,             0.75303,            0.025371,            0.035964,            0.012012,             0.01107,             0.01047,             0.90325,             0.00042,              3.0117,             0.67583,             0.08231,             0.05231,              0.5068,              1.1696,             0.94172,              1.1474,                 0.2,              3.9553,                   0,             0.01375,             0.84772,             0.37186,                   0,             0.07965,             0.46181,                   0,                   0,                   0,                 0.5,             0.98714,                   0,                   0,              2.5696
             0.94744,             0.96117,              0.9842,             0.74092,            0.034769,            0.047052,           0.0096909,             0.01042,                0.01,             0.83683,              0.0004,              3.0117,             0.67583,             0.10169,             0.06663,             0.31718,              1.1696,              1.1836,              1.0822,                 0.2,              4.3493,                   0,             0.01356,             0.88281,             0.39126,                   0,             0.06169,             0.38384,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.3039
             0.91923,             0.98785,             0.98395,             0.75629,            0.025277,            0.036297,            0.012181,             0.01086,              0.0105,             0.90463,             0.00042,              2.9902,             0.67653,             0.08231,             0.05231,             0.51095,              1.1655,             0.94172,              1.1474,                 0.2,              3.9862,                   0,             0.01372,             0.84772,             0.37202,                   0,             0.07921,             0.46181,                   0,                   0,                   0,                 0.5,             0.98714,                   0,                   0,              2.5696
             0.93769,              0.9881,             0.98402,             0.73298,            0.024659,             0.03856,           0.0093924,             0.01088,                0.01,             0.96573,             0.00044,              3.1623,              0.7514,             0.11081,             0.04814,             0.39666,              1.1319,              1.0781,              1.1405,                 0.2,              3.8024,                   0,              0.0136,             0.74526,             0.39758,                   0,             0.08595,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.931
             0.94685,             0.98197,              0.9846,             0.74957,            0.026908,             0.03845,            0.011302,             0.01102,             0.01017,             0.91847,             0.00045,               3.037,             0.67438,                 0.1,              0.0523,             0.44899,              1.1536,             0.99389,              1.1468,                 0.2,              4.0535,                   0,              0.0138,             0.75126,             0.39713,                   0,             0.08795,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
             0.93739,             0.97905,              0.9828,             0.73947,            0.024899,            0.033491,           0.0094647,             0.01032,                0.01,             0.91597,             0.00044,               3.144,             0.72399,                 0.1,              0.0523,             0.42986,              1.1556,              1.0049,              1.0124,                 0.2,              3.4117,                   0,             0.01501,             0.68992,             0.41304,                   0,             0.08407,              0.4812,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                 2.5
             0.21454,             0.42372,             0.40161,             0.20616,            0.062524,             0.11475,            0.045081,              0.0103,                0.01,             0.92324,             0.00044,              3.4733,             0.69609,             0.09406,             0.06243,             0.43449,              1.2685,              1.0786,               1.128,                 0.2,              3.3088,                   0,             0.01837,             0.78831,             0.39758,                   0,             0.09439,             0.48673,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               3.522
              0.9401,             0.98584,             0.98378,             0.73413,            0.027274,            0.038879,             0.01126,             0.01092,                0.01,             0.91871,             0.00044,              2.9999,              0.6792,                 0.1,             0.05232,             0.43779,               1.139,              1.0013,              1.1358,                 0.2,              4.1381,                   0,             0.01372,             0.75267,             0.39758,                   0,             0.08798,             0.47358,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.583
             0.94256,             0.97956,             0.98393,             0.71648,             0.02839,            0.041061,           0.0096201,             0.01256,             0.01175,             0.94748,             0.00034,              2.7332,             0.73219,             0.09799,             0.05189,             0.34659,              1.2569,              1.0901,              1.1405,                 0.2,              4.1415,                   0,             0.01025,                0.84,             0.46856,                   0,             0.09902,             0.49236,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6159
